COMPANY,DESCRIPTION,CITY,CATEGORY,JOINED,FOLLOWERS
CoPromote,Content Amplification made easy.,New York City,Mobile Advertising,Nov ’10,321
WeBuyGold,Up Next.,Los Angeles,Influencer Marketing,Jun ’12,422
TOTEMS,Instagram Analytics and Marketing Suite,London,Social CRM,Feb ’12,228
FameBit (Acquired By Google),Leading Marketplace Connecting Brands to Creators for Branded Content Creation,Santa Monica,Social Media Marketing,Oct ’13,501
Clipisode,Your own daily video talk show with friends and fans.,San Francisco,Influencer Marketing,Apr ’15,861
Captiv8,NaN,San Francisco,Social Media Platforms,Mar ’15,57
Revfluence,Scalable Content Powered by Influencers,San Francisco,Social Media Marketing,Oct ’14,175
Matchmade,Intelligent game influencer marketing,Helsinki,Advertising Platforms,Mar ’14,109
Popular Pays,A marketplace where brands and creators meet to create content worth sharing.,Chicago,Social Media Marketing,Apr ’13,488
Grapevine,Global Influencer Marketing Ecosystem,Boston,Advertising Platforms,Dec ’14,200
Ahalogy,Optimized Content Marketing at Scale,Cincinnati,Brand Marketing,Apr ’13,124
Preen.Me,"Personalized, relevant, social recommendation for beauty",Tel Aviv-Yafo,Beauty,Feb ’12,107
NMRKT,Audience Purchase Intent Data for Publishers (Techstars Austin '14),New York City,Lead Generation,Dec ’11,114
Alpharank,Predicted Networks,San Francisco,Retail Technology,May ’15,38
Sideqik,Social influencer activation at scale,Atlanta,Social Media Marketing,Jul ’12,95
Slyce,Marketing Automation for Brand Sponsorships,Palo Alto,Web CMS,May ’15,93
Ader,Helping brands sponsor eSports Influencers on Twitch,San Francisco,Video Streaming,Dec ’14,62
NeoReach,Influencer Marketing Software For Big Brands,San Francisco,Social Media Marketing,Apr ’14,113
Earshot,Advanced social media filtering,Chicago,Social Media Monitoring,Dec ’12,84
Buzzoole,Google Adwords for Buzz Marketing,Metropolitan City of Naples,Social Media Platforms,Nov ’12,44
influence.co,Where influencers show off their best work,Boulder,Social Media Marketing,Jul ’16,16
VidFall,The premier platform for online events.,Manchester,Startups,May ’14,12
ParkLU,Influencer Marketing Platform for China,Shanghai,Influencer Marketing,Feb ’16,11
Linqia,The Performance-based Influencer Marketing Platform,San Francisco,Performance Marketing,Mar ’14,96
PUBLICFAST,Broadcast your branded content through influences globally,New York City,Advertising Platforms,Dec ’13,67
BLACK BUDDHA,Curating and capturing the best of local travel.,Taipei,Content Marketing,Oct ’16,14
GawkBox,Premier Monetization Platform for Content Creators,Seattle,Video Streaming,Nov ’15,35
Social Nature,People trust friends not ads.,Vancouver,Social Media Marketing,Aug ’12,94
Blast Innovations,Enabling business expansion by identifying and activating loyal customers,San Mateo,Mobile Advertising,Feb ’15,21
MuseFind,Orchestrate influencers. Compose Content. Mesmerize Millions.,Vancouver,Influencer Marketing,Nov ’14,47
ClearVoice,Content Marketing Platform and Influencer Marketplace,Phoenix,Content Creators,Jan ’15,33
Contigo.io,Transactional Influence Mapping,San Francisco,Bridging Online and Offline,Mar ’11,67
GrapeStory,Influencer Marketing Production Company,New York City,Mobile Video,Apr ’15,22
Lumanu,Authentic Word of Mouth Marketing,San Francisco,Content Marketing,Apr ’16,17
Foray Collective,The first e-commerce marketplace with a shop by influencer approach,Boston,Influencer Marketing,Nov ’13,32
AdMass,Advertising shouldn't suck,New York City,Advertising Platforms,Aug ’15,27
Activatr,Consumer & fan communications platform for driving engagement and reach at scale,New York City,Social Media Marketing,Apr ’15,18
Dashmote,Turn Images into Insights.,Amsterdam,Influencer Marketing,Oct ’14,32
Shopography,"Shop simply, get trends, and share.",New York City,Retail Technology,Jul ’14,28
FindTheRipple,Predictive insights for real-time marketing,London,Social Media Marketing,Mar ’15,16
Brandplug,The Influencer Marketing Platform Built For ROI,San Luis Obispo,Social Media Marketing,Jan ’16,14
Palate,Influencer Marketing Platform for Restaurants and Food Industry,New York City,Social Media Marketing,Oct ’15,5
VYRL,"Social Influence, Simplified.",Los Angeles,Influencer Marketing,Jul ’15,19
Style Coalition,Influencer Marketing Platform,New York City,Advertising Platforms,Aug ’12,39
Stargazer,Your partner to automate and optimize influencer marketing at scale,Miami,Platform For Influencers,May ’16,10
PopShorts,Connecting Brands to Social Media Influencers,Los Angeles,Mobile Advertising,Mar ’15,11
Renerald,Big Data Oriented Influencer Marketing,Istanbul,Big Data Analytics,Jan ’17,1
Obviously,Influencer Marketing at Scale,San Francisco,Social Media Marketing,Jan ’14,17
IFDB - Internet Famous Database,influencer profiles for brands,Los Angeles,Influencer Marketing,Apr ’16,5
Socialix,Influencer Marketing,New York City,Social Media Marketing,Jul ’15,17
